,channel 3
Revision:           ,0
Type:               ,AVERage
Start:              ,0
Points:             ,1000
Count:              ,256
XDispRange:         ,2.00000E-09
XDispOrg:           ,-1.000000000E-09
XInc:               ,2.5000000E-11
XOrg:               ,-1.2488281250E-08
Units:              ,second
YDispRange:         ,1.60000E+00
YDispOrg:           ,0.0E+00
YInc:               ,2.6346393715428E-05
YOrg:               ,2.32918581226613E-02
Units:              ,Volt
Frame:              ,DSO80804B:
Date:               ,8 MAR 2017
Time:               ,14:01:47
Max Bandwidth:      ,8000000000
Min Bandwidth:      ,0
Time Tags (channel 3),channel 3
-6.03828E-09,1.5E-03
-6.01328E-09,1.5E-03
-5.98828E-09,1.6E-03
-5.96328E-09,1.6E-03
-5.93828E-09,1.5E-03
-5.91328E-09,1.5E-03
-5.88828E-09,1.6E-03
-5.86328E-09,1.7E-03
-5.83828E-09,1.7E-03
-5.81328E-09,1.5E-03
-5.78828E-09,1.5E-03
-5.76328E-09,1.5E-03
-5.73828E-09,1.6E-03
-5.71328E-09,1.6E-03
-5.68828E-09,1.5E-03
-5.66328E-09,1.3E-03
-5.63828E-09,1.2E-03
-5.61328E-09,1.4E-03
-5.58828E-09,1.6E-03
-5.56328E-09,1.7E-03
-5.53828E-09,1.6E-03
-5.51328E-09,1.5E-03
-5.48828E-09,1.4E-03
-5.46328E-09,1.6E-03
-5.43828E-09,1.8E-03
-5.41328E-09,1.8E-03
-5.38828E-09,1.6E-03
-5.36328E-09,1.6E-03
-5.33828E-09,1.6E-03
-5.31328E-09,1.7E-03
-5.28828E-09,1.6E-03
-5.26328E-09,1.5E-03
-5.23828E-09,1.5E-03
-5.21328E-09,1.6E-03
-5.18828E-09,1.7E-03
-5.16328E-09,1.6E-03
-5.13828E-09,1.5E-03
-5.11328E-09,1.7E-03
-5.08828E-09,1.8E-03
-5.06328E-09,1.8E-03
-5.03828E-09,1.6E-03
-5.01328E-09,1.4E-03
-4.98828E-09,1.5E-03
-4.96328E-09,1.6E-03
-4.93828E-09,1.7E-03
-4.91328E-09,1.8E-03
-4.88828E-09,1.7E-03
-4.86328E-09,1.6E-03
-4.83828E-09,1.5E-03
-4.81328E-09,1.4E-03
-4.78828E-09,1.5E-03
-4.76328E-09,1.6E-03
-4.73828E-09,1.7E-03
-4.71328E-09,1.7E-03
-4.68828E-09,1.6E-03
-4.66328E-09,1.6E-03
-4.63828E-09,1.7E-03
-4.61328E-09,1.8E-03
-4.58828E-09,1.7E-03
-4.56328E-09,1.6E-03
-4.53828E-09,1.6E-03
-4.51328E-09,1.5E-03
-4.48828E-09,1.3E-03
-4.46328E-09,1.1E-03
-4.43828E-09,1.0E-03
-4.41328E-09,1.2E-03
-4.38828E-09,1.6E-03
-4.36328E-09,1.7E-03
-4.33828E-09,1.6E-03
-4.31328E-09,1.3E-03
-4.28828E-09,1.2E-03
-4.26328E-09,1.4E-03
-4.23828E-09,1.5E-03
-4.21328E-09,1.6E-03
-4.18828E-09,1.5E-03
-4.16328E-09,1.6E-03
-4.13828E-09,1.7E-03
-4.11328E-09,1.7E-03
-4.08828E-09,1.6E-03
-4.06328E-09,1.5E-03
-4.03828E-09,1.6E-03
-4.01328E-09,1.8E-03
-3.98828E-09,1.8E-03
-3.96328E-09,1.5E-03
-3.93828E-09,1.2E-03
-3.91328E-09,1.2E-03
-3.88828E-09,1.6E-03
-3.86328E-09,2.2E-03
-3.83828E-09,2.4E-03
-3.81328E-09,2.3E-03
-3.78828E-09,1.8E-03
-3.76328E-09,1.5E-03
-3.73828E-09,1.5E-03
-3.71328E-09,1.8E-03
-3.68828E-09,2.3E-03
-3.66328E-09,2.5E-03
-3.63828E-09,2.2E-03
-3.61328E-09,1.9E-03
-3.58828E-09,1.7E-03
-3.56328E-09,1.7E-03
-3.53828E-09,1.7E-03
-3.51328E-09,1.6E-03
-3.48828E-09,1.5E-03
-3.46328E-09,1.6E-03
-3.43828E-09,1.9E-03
-3.41328E-09,2.0E-03
-3.38828E-09,1.9E-03
-3.36328E-09,1.7E-03
-3.33828E-09,1.7E-03
-3.31328E-09,1.9E-03
-3.28828E-09,2.0E-03
-3.26328E-09,1.9E-03
-3.23828E-09,1.6E-03
-3.21328E-09,1.5E-03
-3.18828E-09,1.6E-03
-3.16328E-09,1.9E-03
-3.13828E-09,2.1E-03
-3.11328E-09,2.0E-03
-3.08828E-09,1.8E-03
-3.06328E-09,1.5E-03
-3.03828E-09,1.4E-03
-3.01328E-09,1.3E-03
-2.98828E-09,1.4E-03
-2.96328E-09,1.6E-03
-2.93828E-09,1.8E-03
-2.91328E-09,2.0E-03
-2.88828E-09,2.1E-03
-2.86328E-09,2.0E-03
-2.83828E-09,1.7E-03
-2.81328E-09,1.5E-03
-2.78828E-09,1.3E-03
-2.76328E-09,1.3E-03
-2.73828E-09,1.4E-03
-2.71328E-09,1.3E-03
-2.68828E-09,1.1E-03
-2.66328E-09,7E-04
-2.63828E-09,5E-04
-2.61328E-09,5E-04
-2.58828E-09,9E-04
-2.56328E-09,1.3E-03
-2.53828E-09,1.5E-03
-2.51328E-09,1.3E-03
-2.48828E-09,1.2E-03
-2.46328E-09,1.2E-03
-2.43828E-09,1.4E-03
-2.41328E-09,1.7E-03
-2.38828E-09,1.8E-03
-2.36328E-09,1.8E-03
-2.33828E-09,1.7E-03
-2.31328E-09,1.5E-03
-2.28828E-09,1.4E-03
-2.26328E-09,1.3E-03
-2.23828E-09,1.2E-03
-2.21328E-09,1.3E-03
-2.18828E-09,1.6E-03
-2.16328E-09,1.8E-03
-2.13828E-09,1.8E-03
-2.11328E-09,1.6E-03
-2.08828E-09,1.5E-03
-2.06328E-09,1.5E-03
-2.03828E-09,1.6E-03
-2.01328E-09,1.6E-03
